Target_Treatment,MOATS,Jar,Date,Time,pH_logger,Temp_logger,DO_logger,calculated_DIC,calculated_Spec_pH_at_12C,calculated_Aragonite_Saturation,DO_presens
pH_7.55_DO_3.73,1,NA,2016-11-21,17:02:02,7.55420911,10.49194384,3.79854486,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,17:12:02,7.57933467,10.49863397,3.84052075,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,17:22:02,7.54213469,10.4362988,3.83087577,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,17:32:02,7.57052299,10.38252555,3.78245725,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,17:42:02,7.58023504,10.26390149,3.73125034,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,17:52:02,7.54337137,10.2921251,3.72103256,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,18:02:02,7.57706543,10.30809919,3.60508121,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,18:12:02,7.56038218,10.21826782,3.64145143,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,18:22:02,7.54118415,10.46463659,3.62813262,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,18:32:02,7.58461331,10.32190687,3.68357155,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,18:42:02,7.55108841,10.21500355,3.77280109,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,18:52:02,7.55052533,10.40380778,3.79722309,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,19:02:02,7.58434992,10.36319334,3.7416321,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,19:12:02,7.55337241,10.24315633,3.76345796,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,19:22:02,7.55464912,10.30961831,3.79687114,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,19:32:02,7.5812476,10.30753499,3.84357863,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,19:42:02,7.54985777,10.21614943,3.75185978,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,19:52:02,7.57068426,10.23206108,3.61843357,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,20:02:02,7.55150279,10.36349191,3.64558336,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,20:12:02,7.56918582,10.20973332,3.72933804,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,20:22:02,7.5658506,10.31857699,3.75527011,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,20:32:02,7.5569468,10.25779317,3.70482799,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,20:42:02,7.58120435,10.30458808,3.65529865,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,20:52:02,7.54903271,10.35194615,3.63950393,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,21:02:02,7.58207782,10.22375145,3.70760886,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,21:12:02,7.56002012,10.33727138,3.70094093,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,21:22:02,7.55637954,10.28871355,3.77037593,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,21:32:02,7.57595016,10.2556145,3.80205517,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,21:42:02,7.54513209,10.29264239,3.75531903,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,21:52:02,7.58086651,10.23777138,3.71290034,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,22:02:02,7.55147562,10.51987803,3.70342088,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,22:12:02,7.56885313,10.55287051,3.65448801,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,22:22:02,7.57398019,10.50868271,3.59158594,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,22:32:02,7.54034962,10.49210111,3.61987403,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,22:42:02,7.58173212,10.40229888,3.66372666,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,22:52:02,7.55573005,10.40422984,3.67777104,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,23:02:02,7.56483645,10.4132367,3.67597758,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,23:12:02,7.57908207,10.43386067,3.65822259,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,23:22:02,7.54095074,10.46354179,3.7097591,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,23:32:02,7.58037139,10.37975283,3.72573345,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,23:42:02,7.55887617,10.5123608,3.7486023,NA,NA,NA,NA
pH_7.55_DO_3.73,1,NA,2016-11-21,23:52:02,7.55172951,10.57443333,3.77043525,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,17:05:30,7.93545016,10.23899228,9.36148123,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,17:15:30,7.93721234,10.22204708,9.33929254,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,17:25:30,7.93328446,10.29261361,9.34595645,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,17:35:30,7.94022418,10.2132444,9.37254809,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,17:45:30,7.94093182,10.20270899,9.40918449,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,17:55:30,7.94166239,10.20103117,9.42242382,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,18:05:30,7.94211181,10.20251088,9.42241968,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,18:15:30,7.94148603,10.20772548,9.40964572,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,18:25:30,7.94174191,10.20452811,9.40539186,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,18:35:30,7.9413521,10.20634184,9.42658435,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,18:45:30,7.94192935,10.2054378,9.43718106,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,18:55:30,7.94244218,10.20505994,9.43558432,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,19:05:30,7.94213157,10.20678005,9.43414287,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,19:15:30,7.94291954,10.2098305,9.42285471,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,19:25:30,7.94215585,10.20303982,9.41771192,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,19:35:30,7.94142,10.21015261,9.43680719,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,19:45:30,7.94180433,10.21005954,9.44611715,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,19:55:30,7.94233964,10.20607426,9.44357925,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,20:05:30,7.9411013,10.20259536,9.44149189,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,20:15:30,7.94155625,10.20407368,9.43440725,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,20:25:30,7.94123621,10.21122759,9.4221185,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,20:35:30,7.94176945,10.20731167,9.44064514,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,20:45:30,7.94194703,10.20690129,9.45842282,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,20:55:30,7.94224138,10.19409177,9.44928912,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,21:05:30,7.94059508,10.19607007,9.45072627,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,21:15:30,7.9381095,10.20049086,9.43514999,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,21:25:30,7.93495248,10.21288452,9.40150892,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,21:35:30,7.93310603,10.21754842,9.39034749,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,21:45:30,7.93165085,10.2313257,9.39929761,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,21:55:30,7.9304401,10.23368958,9.40080896,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,22:05:30,7.93047162,10.23655434,9.40390043,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,22:15:30,7.932191,10.2301429,9.39265726,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,22:25:30,7.93231266,10.23122819,9.37440841,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,22:35:30,7.92923471,10.25305936,9.40260373,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,22:45:30,7.93098272,10.24140948,9.41816629,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,22:55:30,7.93212038,10.21721064,9.42055465,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,23:05:30,7.93037294,10.22979025,9.41989661,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,23:15:30,7.92948516,10.24762272,9.41478288,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,23:25:30,7.93508134,10.21842287,9.39651288,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,23:35:30,7.93011991,10.2362393,9.42269718,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,23:45:30,7.93669909,10.21981546,9.41741502,NA,NA,NA,NA
pH_7.95_DO_9.32,3,NA,2016-11-21,23:55:30,7.9321543,10.23452625,9.44016913,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,17:07:46,7.55555898,10.24659792,3.71527754,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,17:17:46,7.57541543,10.22116029,3.83168256,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,17:27:46,7.56455883,10.24037238,3.8971163,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,17:37:46,7.56656519,10.23688058,3.778199,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,17:47:46,7.57104136,10.22149239,3.73659355,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,17:57:46,7.55411432,10.28920057,3.75589928,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,18:07:46,7.58111389,10.22674605,3.76052202,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,18:17:46,7.54645904,10.22020921,3.76759214,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,18:27:46,7.58973247,10.21928358,3.73004426,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,18:37:46,7.54189525,10.23739267,3.70551006,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,18:47:46,7.58446134,10.23580194,3.75219946,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,18:57:46,7.54122585,10.2446806,3.7389871,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,19:07:46,7.58764954,10.21930435,3.67690857,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,19:17:46,7.54733499,10.23614152,3.66446119,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,19:27:46,7.57731757,10.27436753,3.66248797,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,19:37:46,7.55934907,10.22297871,3.7048823,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,19:47:46,7.5659153,10.21775267,3.72601955,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,19:57:46,7.57050945,10.24443555,3.71607437,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,20:07:46,7.55381535,10.2332806,3.70424926,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,20:17:46,7.57596413,10.23168528,3.7015769,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,20:27:46,7.53823086,10.23856411,3.66061292,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,20:37:46,7.59042575,10.22894486,3.63497831,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,20:47:46,7.54474778,10.21924557,3.58243268,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,20:57:46,7.59071215,10.21751208,3.6387316,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,21:07:46,7.54698558,10.21927994,3.66133638,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,21:17:46,7.57805042,10.25468056,3.69381989,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,21:27:46,7.5375929,10.22126144,3.77015139,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,21:37:46,7.59432255,10.21799642,3.82974107,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,21:47:46,7.53988857,10.25267168,3.78669444,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,21:57:46,7.57744915,10.25005109,3.75864874,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,22:07:46,7.56014521,10.24927484,3.65412551,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,22:17:46,7.56116934,10.22258317,3.67886464,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,22:27:46,7.56732478,10.2291239,3.58298619,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,22:37:46,7.56417944,10.28430534,3.56684153,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,22:47:46,7.55793647,10.21633405,3.58501522,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,22:57:46,7.55137139,10.32814867,3.6508944,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,23:07:46,7.5740995,10.28246539,3.59621479,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,23:17:46,7.5554679,10.20715687,3.68097032,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,23:27:46,7.57496103,10.23575889,3.73906253,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,23:37:46,7.55054295,10.3353479,3.72784551,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,23:47:46,7.58493335,10.29362519,3.76581377,NA,NA,NA,NA
pH_7.55_DO_3.73,4,NA,2016-11-21,23:57:46,7.54313613,10.20387169,3.71600183,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,17:02:31,7.51105316,10.24132406,9.23484674,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,17:12:31,7.55819738,10.21745282,9.2364237,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,17:22:31,7.52332003,10.21334709,9.23526207,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,17:32:31,7.55471725,10.2234396,9.23594909,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,17:42:31,7.54513221,10.23484631,9.23331978,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,17:52:31,7.51282548,10.21354744,9.23194911,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,18:02:31,7.56821754,10.23681715,9.24246222,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,18:12:31,7.53463321,10.20623794,9.22915378,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,18:22:31,7.49221022,10.20736934,9.23068886,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,18:32:31,7.5500072,10.21147958,9.23766131,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,18:42:31,7.54407463,10.21013415,9.24081027,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,18:52:31,7.50635994,10.21560988,9.23775796,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,19:02:31,7.5607664,10.20491703,9.24039122,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,19:12:31,7.55096407,10.21831006,9.23866668,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,19:22:31,7.56625898,10.20344621,9.22619704,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,19:32:31,7.47469926,10.21268249,9.22619288,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,19:42:31,7.5252164,10.2124248,9.22841138,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,19:52:31,7.57478402,10.21342273,9.23820142,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,20:02:31,7.49478012,10.22832225,9.23607291,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,20:12:31,7.50936152,10.21041254,9.2270014,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,20:22:31,7.56240935,10.21071095,9.24122143,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,20:32:31,7.52187531,10.19923617,9.23128399,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,20:42:31,7.54571592,10.21758638,9.23935744,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,20:52:31,7.57248356,10.2175342,9.24181209,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,21:02:31,7.51263426,10.21846206,9.24034712,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,21:12:31,7.56312807,10.21493715,9.24133237,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,21:22:31,7.51574192,10.22049974,9.23737578,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,21:32:31,7.56253141,10.20833465,9.24016981,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,21:42:31,7.53877412,10.2450196,9.24259185,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,21:52:31,7.51991722,10.2229546,9.24340833,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,22:02:31,7.57619401,10.2290068,9.24231372,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,22:12:31,7.51968668,10.21359346,9.25665162,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,22:22:31,7.54769482,10.25215924,9.26442224,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,22:32:31,7.56337954,10.22680299,9.26028463,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,22:42:31,7.51805867,10.2589565,9.27157909,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,22:52:31,7.56998722,10.22894515,9.27548495,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,23:02:31,7.50805212,10.20790542,9.28564207,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,23:12:31,7.53908519,10.23431082,9.28984471,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,23:22:31,7.56844371,10.27738048,9.27761124,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,23:32:31,7.51309078,10.22622483,9.2831593,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,23:42:31,7.56716379,10.21953709,9.30485317,NA,NA,NA,NA
pH_7.55_DO_9.32,5,NA,2016-11-21,23:52:31,7.52739274,10.22396289,9.31927714,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,17:07:40,7.95298608,10.3040232,3.84115962,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,17:17:40,7.96333186,10.23973378,3.75571654,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,17:27:40,7.95904774,10.21803566,3.77643659,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,17:37:40,7.93133926,10.2466689,3.71371372,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,17:47:40,7.93337859,10.24058513,3.63999519,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,17:57:40,7.9412589,10.20868423,3.71351773,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,18:07:40,7.94249755,10.26956627,3.65988262,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,18:17:40,7.95134094,10.20203556,3.69514194,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,18:27:40,7.95096767,10.26067646,3.60994253,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,18:37:40,7.95892666,10.20181855,3.75586298,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,18:47:40,7.95751176,10.24786956,3.74446712,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,18:57:40,7.96109375,10.21114967,3.79278721,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,19:07:40,7.96285077,10.21443847,3.76142277,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,19:17:40,7.95459898,10.27513147,3.70629519,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,19:27:40,7.94783235,10.22167453,3.71491217,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,19:37:40,7.94756247,10.22663458,3.82558776,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,19:47:40,7.95395571,10.19043996,3.8018903,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,19:57:40,7.95057569,10.25901612,3.73167734,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,20:07:40,7.96030655,10.19781354,3.67543159,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,20:17:40,7.95956158,10.25015017,3.57309505,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,20:27:40,7.96223215,10.21846034,3.62106264,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,20:37:40,7.93812731,10.20636475,3.70228789,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,20:47:40,7.92501945,10.24024926,3.76360953,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,20:57:40,7.93410271,10.20990782,3.8031167,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,21:07:40,7.93735268,10.24338997,3.78105258,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,21:17:40,7.94545204,10.21688293,3.69522528,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,21:27:40,7.94583715,10.25684627,3.78952136,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,21:37:40,7.95733518,10.18823062,3.70289519,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,21:47:40,7.95326603,10.28776992,3.63440738,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,21:57:40,7.96304034,10.23710008,3.654519,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,22:07:40,7.96583029,10.24240059,3.62981119,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,22:17:40,7.93884459,10.21469051,3.64792431,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,22:27:40,7.92758652,10.25420194,3.71177287,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,22:37:40,7.93709743,10.28996855,3.72778378,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,22:47:40,7.95148905,10.2562843,3.73931197,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,22:57:40,7.96098305,10.21967374,3.75579042,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,23:07:40,7.95853647,10.17771033,3.88556877,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,23:17:40,7.91792273,10.28632922,3.66754029,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,23:27:40,7.92296252,10.37669146,3.86966078,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,23:37:40,7.94142207,10.34389431,3.6700645,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,23:47:40,7.95404089,10.29689652,3.65107089,NA,NA,NA,NA
pH_7.95_DO_3.73,6,NA,2016-11-21,23:57:40,7.96596573,10.21103265,3.77138758,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,17:01:44,7.88157706,10.23186188,9.24478233,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,17:11:45,7.87905315,10.30419654,9.24051965,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,17:21:44,7.88506518,10.2172635,9.23548054,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,17:31:44,7.88030885,10.28813429,9.25142161,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,17:41:44,7.87879178,10.21817774,9.23112599,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,17:51:44,7.87987921,10.29299509,9.24984343,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,18:01:44,7.88008005,10.21467955,9.23836785,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,18:11:45,7.87661446,10.27597198,9.24448502,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,18:21:44,7.88107418,10.25011194,9.25050924,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,18:31:44,7.88026433,10.21779485,9.23576153,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,18:41:44,7.87743704,10.30270176,9.25375115,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,18:51:44,7.88045151,10.20467542,9.24428975,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,19:01:44,7.87750282,10.2543796,9.2456086,NA,NA,NA,NA
pH_7.95_DO_9.32,7,NA,2016-11-21,19:11:44,7.87815447,10.26868025,9.25417045,NA,NA,NA,NA
